cvsin_type_2  
Start(mV):      5.000000E+02
End(mV):        5.000000E+02
Max(mV):       -5.000000E+02
Min(mV):       -5.000000E+02
Freq1(Hz):      1.800000E+01
Amp1(mV):       0.000000E+00
Phase1(deg):    0.000000E+00
Freq2(Hz):      1.000000E+00
Amp2(mV):       0.000000E+00
Phase2(deg):    0.000000E+00
Freq3(Hz):      1.000000E+00
Amp3(mV):       0.000000E+00
Phase3(deg):    0.000000E+00
Freq4(Hz):      1.000000E+00
Amp4(mV):       0.000000E+00
Phase4(deg):    0.000000E+00
Freq5(Hz):      1.000000E+00
Amp5(mV):       0.000000E+00
Phase5(deg):    0.000000E+00
Freq6(Hz):      1.000000E+00
Amp6(mV):       0.000000E+00
Phase6(deg):    0.000000E+00
Freq7(Hz):      1.000000E+00
Amp7(mV):       0.000000E+00
Phase7(deg):    0.000000E+00
Freq8(Hz):      1.000000E+00
Amp8(mV):       0.000000E+00
Phase8(deg):    0.000000E+00
Type(0-4):      4 
Rate(mV/s):     1.000000E+03
Direction:      c 
Scans:  1
Average:        19
Gain(0-4):      1 
Initial(mV):    5.000000E+02
Initial(mS):    1.000000E+04
Pre(mV):        0.000000E+00
Pre(ms):        0.000000E+00
Post(mV):       0.000000E+00
Post(ms):       0.000000E+00
 3.125000E-01  -9.821950E-07   1.875000E-01
 3.120117E-01  -1.001057E-06   1.879883E-01
 3.115234E-01  -1.020275E-06   1.884766E-01
 3.110352E-01  -1.039836E-06   1.889648E-01
 3.105469E-01  -1.059784E-06   1.894531E-01
 3.100586E-01  -1.080129E-06   1.899414E-01
 3.095703E-01  -1.100861E-06   1.904297E-01
 3.090820E-01  -1.121978E-06   1.909180E-01
 3.085938E-01  -1.143517E-06   1.914062E-01
 3.081055E-01  -1.165473E-06   1.918945E-01
 3.076172E-01  -1.187820E-06   1.923828E-01
 3.071289E-01  -1.210620E-06   1.928711E-01
 3.066406E-01  -1.233860E-06   1.933594E-01
 3.061523E-01  -1.257534E-06   1.938477E-01
 3.056641E-01  -1.281672E-06   1.943359E-01
 3.051758E-01  -1.306269E-06   1.948242E-01
 3.046875E-01  -1.331330E-06   1.953125E-01
 3.041992E-01  -1.356879E-06   1.958008E-01
 3.037109E-01  -1.382935E-06   1.962891E-01
 3.032227E-01  -1.409461E-06   1.967773E-01
 3.027344E-01  -1.436506E-06   1.972656E-01
 3.022461E-01  -1.464082E-06   1.977539E-01
 3.017578E-01  -1.492170E-06   1.982422E-01
 3.012695E-01  -1.520806E-06   1.987305E-01
 3.007812E-01  -1.549992E-06   1.992188E-01
 3.002930E-01  -1.579732E-06   1.997070E-01
 2.998047E-01  -1.610051E-06   2.001953E-01
 2.993164E-01  -1.640949E-06   2.006836E-01
 2.988281E-01  -1.672432E-06   2.011719E-01
 2.983398E-01  -1.704524E-06   2.016602E-01
 2.978516E-01  -1.737244E-06   2.021484E-01
 2.973633E-01  -1.770566E-06   2.026367E-01
 2.968750E-01  -1.804551E-06   2.031250E-01
 2.963867E-01  -1.839164E-06   2.036133E-01
 2.958984E-01  -1.874464E-06   2.041016E-01
 2.954102E-01  -1.910445E-06   2.045898E-01
 2.949219E-01  -1.947096E-06   2.050781E-01
 2.944336E-01  -1.984458E-06   2.055664E-01
 2.939453E-01  -2.022538E-06   2.060547E-01
 2.934570E-01  -2.061347E-06   2.065430E-01
 2.929688E-01  -2.100911E-06   2.070312E-01
 2.924805E-01  -2.141222E-06   2.075195E-01
 2.919922E-01  -2.182311E-06   2.080078E-01
 2.915039E-01  -2.224177E-06   2.084961E-01
 2.910156E-01  -2.266864E-06   2.089844E-01
 2.905273E-01  -2.310359E-06   2.094727E-01
 2.900391E-01  -2.354686E-06   2.099609E-01
 2.895508E-01  -2.399875E-06   2.104492E-01
 2.890625E-01  -2.445927E-06   2.109375E-01
 2.885742E-01  -2.492847E-06   2.114258E-01
 2.880859E-01  -2.540677E-06   2.119141E-01
 2.875977E-01  -2.589430E-06   2.124023E-01
 2.871094E-01  -2.639112E-06   2.128906E-01
 2.866211E-01  -2.689759E-06   2.133789E-01
 2.861328E-01  -2.741358E-06   2.138672E-01
