cvsin_type_2  
Start(mV):      5.000000E+02
End(mV):        5.000000E+02
Max(mV):       -5.000000E+02
Min(mV):       -5.000000E+02
Freq1(Hz):      1.800000E+02
Amp1(mV):       0.000000E+00
Phase1(deg):    0.000000E+00
Freq2(Hz):      1.000000E+00
Amp2(mV):       0.000000E+00
Phase2(deg):    0.000000E+00
Freq3(Hz):      1.000000E+00
Amp3(mV):       0.000000E+00
Phase3(deg):    0.000000E+00
Freq4(Hz):      1.000000E+00
Amp4(mV):       0.000000E+00
Phase4(deg):    0.000000E+00
Freq5(Hz):      1.000000E+00
Amp5(mV):       0.000000E+00
Phase5(deg):    0.000000E+00
Freq6(Hz):      1.000000E+00
Amp6(mV):       0.000000E+00
Phase6(deg):    0.000000E+00
Freq7(Hz):      1.000000E+00
Amp7(mV):       0.000000E+00
Phase7(deg):    0.000000E+00
Freq8(Hz):      1.000000E+00
Amp8(mV):       0.000000E+00
Phase8(deg):    0.000000E+00
Type(0-4):      4 
Rate(mV/s):     1.000000E+03
Direction:      c 
Scans:  1
Average:        19
Gain(0-4):      1 
Initial(mV):    5.000000E+02
Initial(mS):    1.000000E+04
Pre(mV):        0.000000E+00
Pre(ms):        0.000000E+00
Post(mV):       0.000000E+00
Post(ms):       0.000000E+00
 4.775391E-01  -1.073948E-15   2.246094E-02
 4.774170E-01  -1.054060E-15   2.258301E-02
 4.772949E-01  -1.073948E-15   2.270508E-02
 4.771729E-01  -1.054060E-15   2.282715E-02
 4.770508E-01  -1.073948E-15   2.294922E-02
 4.769287E-01  -1.073948E-15   2.307129E-02
 4.768066E-01  -1.054060E-15   2.319336E-02
 4.766846E-01  -1.093836E-15   2.331543E-02
 4.765625E-01  -1.073948E-15   2.343750E-02
 4.764404E-01  -1.073948E-15   2.355957E-02
 4.763184E-01  -1.073948E-15   2.368164E-02
 4.761963E-01  -1.073948E-15   2.380371E-02
 4.760742E-01  -1.093836E-15   2.392578E-02
 4.759521E-01  -1.093836E-15   2.404785E-02
 4.758301E-01  -1.113724E-15   2.416992E-02
 4.757080E-01  -1.113724E-15   2.429199E-02
 4.755859E-01  -1.113724E-15   2.441406E-02
 4.754639E-01  -1.113724E-15   2.453613E-02
 4.753418E-01  -1.133612E-15   2.465820E-02
 4.752197E-01  -1.133612E-15   2.478027E-02
 4.750977E-01  -1.133612E-15   2.490234E-02
 4.749756E-01  -1.153500E-15   2.502441E-02
 4.748535E-01  -1.153500E-15   2.514648E-02
 4.747314E-01  -1.153500E-15   2.526855E-02
 4.746094E-01  -1.173388E-15   2.539062E-02
 4.744873E-01  -1.133612E-15   2.551270E-02
 4.743652E-01  -1.153500E-15   2.563477E-02
 4.742432E-01  -1.173388E-15   2.575684E-02
 4.741211E-01  -1.213163E-15   2.587891E-02
 4.739990E-01  -1.193275E-15   2.600098E-02
 4.738770E-01  -1.193275E-15   2.612305E-02
 4.737549E-01  -1.173388E-15   2.624512E-02
 4.736328E-01  -1.213163E-15   2.636719E-02
 4.735107E-01  -1.193275E-15   2.648926E-02
 4.733887E-01  -1.213163E-15   2.661133E-02
 4.732666E-01  -1.213163E-15   2.673340E-02
 4.731445E-01  -1.193275E-15   2.685547E-02
 4.730225E-01  -1.233051E-15   2.697754E-02
 4.729004E-01  -1.213163E-15   2.709961E-02
 4.727783E-01  -1.233051E-15   2.722168E-02
 4.726562E-01  -1.233051E-15   2.734375E-02
 4.725342E-01  -1.252939E-15   2.746582E-02
 4.724121E-01  -1.252939E-15   2.758789E-02
 4.722900E-01  -1.252939E-15   2.770996E-02
 4.721680E-01  -1.233051E-15   2.783203E-02
 4.720459E-01  -1.292715E-15   2.795410E-02
 4.719238E-01  -1.292715E-15   2.807617E-02
 4.718018E-01  -1.252939E-15   2.819824E-02
 4.716797E-01  -1.292715E-15   2.832031E-02
